global_id,wdpa_id
OFAC_294,20324
OFAC_295,5183
OFAC_296,555512073
OFAC_297,20337
OFAC_299,20327
OFAC_300,1083
OFAC_301,1082
OFAC_302,350001
OFAC_304,1084
OFAC_305,555512076
OFAC_306,555512077
OFAC_307,555625665
OFAC_311,555512067
OFAC_313,555512071
OFAC_314,72340
OFAC_316,20330
OFAC_317,1080
OFAC_319,72312
OFAC_323,478028
OFAC_324,37043
OFAC_327,29685
OFAC_328,20331
OFAC_329,10906
OFAC_330,354001
OFAC_332,20334
OFAC_333,317056
OFAC_334,1079
OFAC_337,2017
OFAC_338,555512072
OFAC_339,639
OFAC_340,1249
OFAC_341,2256
OFAC_342,2257
OFAC_343,2258
OFAC_344,2259
OFAC_345,2260
OFAC_346,2261
OFAC_347,2262
OFAC_348,2264
OFAC_349,2265
OFAC_351,28741
OFAC_352,28745
OFAC_353,31458
OFAC_354,31459
OFAC_361,317281
OFAC_362,666
OFAC_364,28840
OFAC_365,28844
OFAC_366,28845
OFAC_368,28847
OFAC_370,72320
OFAC_371,72324
OFAC_374,303872
OFAC_375,303873
OFAC_376,303874
OFAC_377,303875
OFAC_378,303877
OFAC_379,303878
OFAC_380,303879
OFAC_381,303880
OFAC_382,306235
OFAC_383,306237
OFAC_384,606
OFAC_385,607
OFAC_386,608
OFAC_387,609
OFAC_388,610
OFAC_389,1240
OFAC_390,1241
OFAC_391,1242
OFAC_392,1244
OFAC_393,1245
OFAC_394,146627
OFAC_396,1628
OFAC_397,20058
OFAC_399,20112
OFAC_400,20117
OFAC_401,20125
OFAC_402,20166
OFAC_403,30674
OFAC_413,308624
OFAC_417,555548871
OFAC_423,308634
OFAC_425,308636
OFAC_426,308637
OFAC_434,354004
OFAC_435,643
OFAC_436,2266
OFAC_437,2270
OFAC_438,37044
OFAC_439,72332
OFAC_440,99855
OFAC_441,99862
OFAC_442,300342
OFAC_443,313401
OFAC_444,313494
OFAC_446,313354
OFAC_447,313355
OFAC_448,313359
OFAC_449,313360
OFAC_450,313361
OFAC_451,313362
OFAC_452,313364
OFAC_453,20260
OFAC_454,20264
OFAC_455,20267
OFAC_456,20268
OFAC_457,20269
OFAC_458,313366
OFAC_459,9160
OFAC_460,9161
OFAC_461,9162
OFAC_463,9164
OFAC_464,9165
OFAC_465,9166
OFAC_466,641
OFAC_467,642
OFAC_468,1250
OFAC_469,5164
OFAC_470,5165
OFAC_471,5166
OFAC_472,5168
OFAC_474,9034
OFAC_475,862
OFAC_476,863
OFAC_477,9148
OFAC_478,21416
OFAC_479,21417
OFAC_480,555592842
OFAC_481,124355
OFAC_483,555547995
OFAC_484,478190
OFAC_485,555547997
OFAC_486,555548000
OFAC_487,555547994
OFAC_489,2059
OFAC_490,13694
OFAC_491,555571319
OFAC_492,555571316
OFAC_493,555571317
OFAC_494,555571318
OFAC_497,555512065
OFAC_503,555512068
OFAC_504,555512070
OFAC_507,555512075
OFAC_509,301850
OFAC_551,9167
OFAC_553,9168
OFAC_554,61707
OFAC_565,555548873
OFAC_574,555548872
OFAC_604,555547993
OFAC_612,555547996
OFAC_614,555547998
OFAC_617,555548870
OFAC_664,555512066
OFAC_679,354010
OFAC_695,555558303
OFAC_709,555622119
OFAC_710,555622120
OFAC_712,555555524
OFAC_714,555558302
OFAC_731,28846
OFAC_741,301834
OFAC_754,555571320
OFAC_756,101434
OFAC_757,101433
OFAC_758,555622048
OFAC_771,5190
OFAC_772,555622053
OFAC_773,109020
OFAC_774,555624882
OFAC_775,555624904
OFAC_776,166788
OFAC_777,28464
OFAC_778,555555584
OFAC_779,555626098
OFAC_780,555558379
OFAC_781,317142
OFAC_782,555592849
OFAC_783,902874
OFAC_784,555547987
OFAC_785,555624883
OFAC_786,901295
OFAC_787,7425
OFAC_788,109035
OFAC_789,555624896
OFAC_790,555555587
OFAC_791,903129
OFAC_792,555558381
OFAC_793,555624901
OFAC_794,555624888
OFAC_795,555624878
OFAC_796,555547988
OFAC_797,101182
OFAC_798,555624879
OFAC_799,555555585
OFAC_800,109034
OFAC_801,101179
OFAC_802,555624894
OFAC_803,555512074
OFAC_804,555624884
OFAC_805,14086
OFAC_806,28848
OFAC_807,301830
OFAC_808,301832
OFAC_809,555624890
OFAC_810,9022
OFAC_811,555622055
OFAC_812,902837
OFAC_813,555624898
OFAC_814,555624893
OFAC_815,28839
OFAC_816,301831
OFAC_817,555624885
OFAC_818,902869
OFAC_819,3011
OFAC_820,555624880
OFAC_821,301877
OFAC_822,109095
OFAC_823,555622054
OFAC_824,146632
OFAC_825,903026
OFAC_826,166888
OFAC_827,902803
OFAC_828,14085
OFAC_829,28754
OFAC_830,555629210
OFAC_831,2060
OFAC_832,902838
OFAC_833,101181
OFAC_834,901293
OFAC_835,166739
OFAC_836,4328
OFAC_837,301833
OFAC_838,100877
OFAC_839,555512069
OFAC_840,109017
OFAC_841,555592850
OFAC_842,2172
OFAC_843,109018
OFAC_844,478033
OFAC_845,555512064
OFAC_846,555624902
OFAC_847,555624905
OFAC_848,67931
OFAC_849,555624900
OFAC_850,902990
OFAC_851,555624906
