global_id,country,wdpa_id,name,iucn_category,creation_date,perimeter,area,shape_index
CA_20324,COD,20324,Bili-Uere,VI,1974-03-12,,32748.3849415,
CA_5183,COD,5183,"Bombo Lumene",VI,1968-02-10,,2167.87460375,
CA_555512073,COD,555512073,Bomu,Ib,1974-02-14,,6541.50174076,
CA_20337,COD,20337,Bushimaie,VI,,,4368.70430404,
CA_20327,COD,20327,"Gangala Na Bodio",VI,1974-02-14,,9829.32379459,
CA_1083,COD,1083,Garamba,II,1938-03-17,,5000,
CA_1082,COD,1082,Kahuzi-Biega,II,,,6689.37199351,
CA_350001,COD,350001,"Kisimba Ikobo","Not Reported",,,963.272117926,
CA_1084,COD,1084,Kundelungu,II,,,8236.36043615,
CA_555512076,COD,555512076,Tumba-Lediima,"Not Reported",,,7411.76588285,
CA_555512077,COD,555512077,Lomako-Yokokala,"Not Reported",2006-06-28,,3601.88486999,
CA_555625665,COD,555625665,"Lomami National Park","Not Reported",,,0,
CA_555512067,COD,555512067,"Lubudi Sampwe",IV,,,3488.76,
CA_555512071,COD,555512071,Luki,"Not Reported",,,310.593323994,
CA_72340,COD,72340,"Réserve Scientifique de la Luo","Not Reported",,,480.157989502,
CA_20330,COD,20330,Maika-Penge,VI,,,1498.6367349,
CA_1080,COD,1080,Maiko,II,,,10885.7771182,
CA_72312,COD,72312,Itombwe,"Not Reported",2006-10-11,,6009.09524303,
CA_478028,COD,478028,"Triangle de la Ngiri","Not Reported",,,65696.24,
CA_37043,COD,37043,Okapis,II,1992-05-02,,13846.7427077,
CA_29685,COD,29685,Rubi-Tele,VI,,,6191.42943695,
CA_20331,COD,20331,Rutshuru,VI,,,660.66712245,
CA_10906,COD,10906,"Parc national de la Salonga","Not Applicable",1970-12-31,,36000,
CA_354001,COD,354001,Sankuru,"Not Reported",2007-11-06,,0,
CA_20334,COD,20334,Swa-Kibula,VI,1952-12-31,,1003.75335312,
CA_317056,COD,317056,Tayna,"Not Reported",2006-04-03,,892.923700318,
CA_1079,COD,1079,Upemba,II,,,13673.6465606,
CA_2017,COD,2017,"Parc national des Virunga","Not Applicable",1925-04-21,,8000,
CA_555512072,COD,555512072,Yangambi,Ia,,,2214.71801176,
CA_639,CAF,639,Bamingui-Bangoran,II,1933-12-31,,11191.1,
OFAC_340,CAF,1249,Vassako-Bolo,Ia,1933-12-31,,,
OFAC_341,CAF,2256,"Manovo-Gounda-Saint Floris",II,1933-12-31,,,
CA_2257,CAF,2257,"Avakaba Presidential Park",IV,1968-08-31,,2635.78,
CA_2258,CAF,2258,"Andre Felix",II,1940-01-01,,951.93,
CA_2259,CAF,2259,Zemongo,IV,1925-12-31,,13674.49,
CA_2260,CAF,2260,Ouandjia-Vakaga,IV,,,7233.52,
CA_2261,CAF,2261,Yata-Ngaya,IV,1940-12-31,,5404.86,
CA_2262,CAF,2262,Gribingui-Bamingui,IV,1933-01-01,,4321.52,
