kingdom,phylum,class,order,family,genus,species,iucn_redlist_id,iucn_redlist_category,common_name_en,common_name_fr,common_name_sp,country_distribution
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,cherrug,22696495,EN,Saker,"Faucon Sacre","Halcón Sacre","[""AFG"",""ARM"",""AUT"",""AZE"",""BHR"",""BLR"",""BTN"",""BIH"",""BGR"",""TCD"",""CHN"",""HRV"",""CZE"",""ERI"",""ETH"",""FRA"",""GEO"",""HUN"",""IND"",""IRQ"",""IRN"",""ISR"",""ITA"",""JOR"",""KAZ"",""KEN"",""KWT"",""KGZ"",""MLI"",""MRT"",""MCO"",""MNG"",""NPL"",""NER"",""PSE"",""PAK"",""POL"",""QAT"",""MDA"",""ROU"",""RUS"",""SVK"",""SDN"",""SYR"",""TJK"",""TUR"",""TKM"",""UKR"",""ARE"",""TZA"",""UZB""]"
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Neophron,percnopterus,22695180,EN,"Egyptian Eagle","Percnoptère D'égypte",Alimoche,"[""AFG"",""ALB"",""DZA"",""ARM"",""AZE"",""BEN"",""BGR"",""BFA"",""CMR"",""CPV"",""CAF"",""TCD"",""CHN"",""DJI"",""EGY"",""ERI"",""ETH"",""FRA"",""GMB"",""GEO"",""GHA"",""GRC"",""GIN"",""GNB"",""IND"",""IRQ"",""IRN"",""ISR"",""ITA"",""JOR"",""KAZ"",""KEN"",""KGZ"",""LBN"",""LBY"",""MLI"",""MRT"",""MAR"",""NPL"",""NER"",""NGA"",""PSE"",""OMN"",""PAK"",""PRT"",""SAU"",""SEN"",""ZAF"",""ESP"",""SDN"",""TJK"",""MKD"",""TGO"",""TUN"",""TUR"",""TKM"",""UGA"",""ARE"",""TZA"",""UZB"",""ESH"",""YEM""]"
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,monachus,22695231,NT,"Black Vulture","Vautour Moine","Buitre Negro","[""AFG"",""AND"",""ARM"",""AZE"",""BGD"",""BTN"",""BGR"",""KHM"",""CHN"",""FRA"",""GEO"",""GRC"",""IND"",""IRQ"",""IRN"",""ISR"",""ITA"",""JPN"",""KAZ"",""KWT"",""KGZ"",""LAO"",""LBN"",""MCO"",""MNG"",""MMR"",""NPL"",""PSE"",""PAK"",""PRT"",""KOR"",""RUS"",""SAU"",""ESP"",""CHE"",""TJK"",""THA"",""TUR"",""TKM"",""UKR"",""ARE"",""UZB"",""VNM""]"
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gypaetus,barbatus,22695174,NT,"Bearded Vulture","Gypaète Barbu",Quebrantahuesos,"[""AFG"",""DZA"",""AND"",""ARM"",""AUT"",""AZE"",""BTN"",""CHN"",""EGY"",""ERI"",""ETH"",""FRA"",""GEO"",""GRC"",""IND"",""IRQ"",""IRN"",""ITA"",""KAZ"",""KEN"",""KGZ"",""LSO"",""MNG"",""MAR"",""MMR"",""NPL"",""PAK"",""RUS"",""ZAF"",""ESP"",""SDN"",""CHE"",""TJK"",""TUR"",""TKM"",""UGA"",""TZA"",""UZB""]"
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,ferina,22680358,VU,"Common Pochard","Fuligule Milouin","Porrón Europeo","[""AFG"",""ALB"",""DZA"",""ARM"",""AUT"",""AZE"",""BGD"",""BLR"",""BEL"",""BTN"",""BIH"",""BGR"",""CMR"",""TCD"",""CHN"",""HRV"",""CYP"",""CZE"",""COD"",""DNK"",""EGY"",""ERI"",""EST"",""ETH"",""FIN"",""FRA"",""GMB"",""GEO"",""DEU"",""GRC"",""GIN"",""GNB"",""HKG"",""HUN"",""IND"",""IRQ"",""IRL"",""IRN"",""IMN"",""ISR"",""ITA"",""JPN"",""JOR"",""KAZ"",""KEN"",""KWT"",""KGZ"",""LAO"",""LVA"",""LBN"",""LBY"",""LTU"",""LUX"",""MLI"",""MCO"",""MNG"",""MAR"",""MMR"",""NPL"",""NLD"",""NER"",""NGA"",""NOR"",""PSE"",""PAK"",""PHL"",""POL"",""PRT"",""KOR"",""MDA"",""ROU"",""RUS"",""SEN"",""SVK"",""SVN"",""ESP"",""SDN"",""SWE"",""CHE"",""SYR"",""TWN"",""TJK"",""THA"",""MKD"",""TUN"",""TUR"",""TKM"",""UGA"",""UKR"",""GBR"",""UZB"",""VNM""]"
Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Hyaena,hyaena,10274,NT,"Striped Hyaena","Hyène Rayée",,"[""AFG"",""DZA"",""ARM"",""AZE"",""BHR"",""BEN"",""BFA"",""CMR"",""TCD"",""CIV"",""DJI"",""EGY"",""ERI"",""ETH"",""GEO"",""GHA"",""IND"",""IRQ"",""IRN"",""ISR"",""JOR"",""KEN"",""KWT"",""LBN"",""LBY"",""MLI"",""MRT"",""MAR"",""NPL"",""NER"",""NGA"",""PSE"",""OMN"",""PAK"",""QAT"",""RUS"",""RWA"",""SAU"",""SEN"",""SDN"",""SYR"",""TJK"",""TGO"",""TUN"",""TKM"",""UGA"",""ARE"",""TZA"",""UZB"",""ESH""]"
Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,lutra,12419,NT,"Common Otter","Loutre Commune",Nutria,"[""AFG"",""ALB"",""DZA"",""AND"",""ARM"",""AUT"",""AZE"",""BLR"",""BTN"",""BIH"",""BGR"",""KHM"",""CHN"",""HRV"",""CZE"",""PRK"",""DNK"",""EST"",""FIN"",""FRA"",""GEO"",""DEU"",""GIB"",""GRC"",""HKG"",""HUN"",""IND"",""IDN"",""IRQ"",""IRL"",""IRN"",""ISR"",""ITA"",""JPN"",""JOR"",""KAZ"",""KWT"",""KGZ"",""LAO"",""LVA"",""LBN"",""LTU"",""MCO"",""MNG"",""MAR"",""MMR"",""NPL"",""NLD"",""NOR"",""PSE"",""PAK"",""POL"",""PRT"",""KOR"",""MDA"",""ROU"",""RUS"",""SVK"",""SVN"",""ESP"",""LKA"",""SWE"",""SYR"",""TJK"",""THA"",""MKD"",""TUN"",""TUR"",""TKM"",""UKR"",""GBR"",""UZB"",""VNM""]"
Animalia,Chordata,Mammalia,Chiroptera,Miniopteridae,Miniopterus,schreibersii,81633057,NT,,,,"[""AFG"",""ALB"",""DZA"",""AND"",""ARM"",""AUS"",""AUT"",""AZE"",""BGD"",""BTN"",""BIH"",""BRN"",""BGR"",""KHM"",""CMR"",""CHN"",""HRV"",""CYP"",""CIV"",""PRK"",""FRA"",""GEO"",""GIB"",""GRC"",""GIN"",""HKG"",""HUN"",""IND"",""IDN"",""IRQ"",""IRN"",""ISR"",""ITA"",""JPN"",""JOR"",""KAZ"",""KGZ"",""LAO"",""LBN"",""LBR"",""LBY"",""MYS"",""MCO"",""MAR"",""MMR"",""NPL"",""NGA"",""PSE"",""PAK"",""PNG"",""PHL"",""POL"",""PRT"",""KOR"",""ROU"",""RUS"",""SLE"",""SVK"",""SVN"",""SLB"",""ESP"",""LKA"",""CHE"",""SYR"",""TWN"",""TJK"",""THA"",""MKD"",""TLS"",""TUN"",""TUR"",""TKM"",""GBR"",""UZB"",""VNM""]"
Animalia,Chordata,Mammalia,Cetartiodactyla,Bovidae,Ovis,orientalis,15739,VU,"Cyprian Wild Sheep","Mouflón De Chypre","Muflón De Chipre","[""AFG"",""ARM"",""AZE"",""IND"",""IRQ"",""IRN"",""KAZ"",""PAK"",""TJK"",""TKM"",""UZB""]"
Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,pardus,15954,VU,Leopard,Léopard,Leopardo,"[""AFG"",""AGO"",""ARM"",""AZE"",""BGD"",""BEN"",""BTN"",""BWA"",""BFA"",""KHM"",""CMR"",""CAF"",""TCD"",""CHN"",""CIV"",""COD"",""EGY"",""GNQ"",""ERI"",""ETH"",""GAB"",""GEO"",""GHA"",""GIN"",""GNB"",""IND"",""IDN"",""IRQ"",""IRN"",""KEN"",""LAO"",""LSO"",""LBR"",""MWI"",""MYS"",""MOZ"",""MMR"",""NAM"",""NPL"",""NER"",""NGA"",""OMN"",""PAK"",""COG"",""RUS"",""RWA"",""SAU"",""SEN"",""SLE"",""ZAF"",""LKA"",""SDN"",""SWZ"",""THA"",""TGO"",""TKM"",""UGA"",""TZA"",""VNM"",""ZMB"",""ZWE""]"
