col_id,vernacular_names_eng,vernacular_names_spa,vernacular_names_por,vernacular_names_fra,vernacular_names_rus,vernacular_names_deu,vernacular_names_ita,vernacular_names_jpn,vernacular_names_zho,vernacular_names_kor
6QGY9,Scimitar-winged Piha,Guardabosques alicurvo,guarda-bosques-d'asa-curva,Piauhau à faucilles,,,,,,
CSHMQ,Grey-winged Cotinga,Cotinga aligrís,cotinga-d'asa-cinzenta,"Cotinga à ailes grises, Piauhau à ailes grises",,,,,,
6QGXZ,Dusky Piha,Guardabosques oscuro,guarda-bosques-escuro,Piauhau sombre,,,,,,
CSHMP,Black-and-gold Cotinga,Cotinga negro,cotinga-d'asa-amarela,"Cotinga noir, Piauhau noir",,,,,,
6QGXX,Rufous Piha,Guardabosques rojizo,guarda-bosques-ruivo,Piauhau roux,,,,,,
6QH9Z,Cinnamon-vented Piha,Guardabosques lanioide,guarda-bosques-carioca,Piauhau à tête grise,,,,,,
72GXZ,Rose-collared Piha,Guardabosques acollarado,guarda-bosques-de-colar-rosa,Piauhau à collier,,,,,,
77KML,Orange-breasted Fruiteater,Frutero pechinaranja,fruteiro-de-peito-laranja,Cotinga jucunda,,,,,,
77KMN,Masked Fruiteater,Frutero enmascarado,fruteiro-mascarado,Cotinga masqué,,,,,,
6VKMN,Black-chested Fruiteater,Frutero pechinegro,fruteiro-de-peito-preto,Cotinga de Lubomirsk,,,,,,
6VKML,Band-tailed Fruiteater,Frutero colifajado,fruteiro-de-cauda-bandada,Cotinga à queue rayée,,,,,,
6VKN2,Red-banded Fruiteater,Frutero degollado,fruteiro-de-colar-vermelho,Cotinga cordon-rouge,,,,,,
6VKMQ,Green-and-black Fruiteater,Frutero verdinegro,fruteiro-verde-e-preto,Cotinga vert et noir,,,,,,
6VKMJ,Golden-breasted Fruiteater,Frutero pechidorado,fruteiro-de-peito-dourado,Cotinga à poitrine d'or,,,,,,
77KMK,Barred Fruiteater,Frutero barrado,fruteiro-barrado,Cotinga barré,,,,,,
77KMM,Scarlet-breasted Fruiteater,Frutero pechirrojo sureño,fruteiro-de-peito-vermelho,Cotinga chevalier,,,,,,
77KMJ,Fiery-throated Fruiteater,Frutero gorjirrojo,fruteiro-de-garganta-flamejante,Cotinga à gorge rouge,,,,,,
6VKMM,Handsome Fruiteater,Frutero hermoso,fruteiro-formoso,Cotinga magnifique,,,,,,
4TQLN,Guianan Cock-of-the-rock,Gallito de las rocas guayanés,galo-das-rochas-guianense,Coq-de-roche orange,,,,,,
4XTS9,Red-breasted Nuthatch,Sita canadiense,,sittelle à poitrine rousse,,,,,,
4TQLL,Andean Cock-of-the-rock,Gallito de las rocas peruano,galo-das-rochas-andino,Coq-de-roche péruvien,,,,,,
4R6HM,Purple-throated Fruitcrow,Cotinga quérula,cotinga-de-barba-púrpura,Coracine noire,,,,,,
5CFLS,White-tailed Cotinga,Cotinga coliblanco,cotinga-de-cauda-branca,Cotinga à queue blanche,,,,,,
5CFLR,White-winged Cotinga,Cotinga aliblanco,cotinga-d'asa-branca,Cotinga porphyrion,,,,,,
